type,requirement,description
"grass_hop",1,"草的获取数量×4×(1+0.25×草蹦次数)"
"grass_hop",2,"经验的获取数量×(1+0.25×草蹦次数)"
"grass_hop",3,"二重经验的获取数量×(1+0.25×草蹦次数)"
"grass_hop",4,"铜的基础获取数量+1"
"grass_hop",5,"铜的基础获取数量再次+1"
"grass_hop",6,"层点的基础获取数量+1"
"grass_hop",7,"铜的基础获取数量第三次+1"
"grass_hop",8,"永久解锁钢化重置"
"grass_hop",10,"钢的获取数量×(1+0.25×草蹦次数)"
"grass_hop",12,"这次及以后的每次草蹦使充能获取数量翻倍(上限为×1e6倍)"
"grass_hop",14,"使所有充能加成公式变得更好×(充能×1000+1)^0.1"
"grass_hop",16,"反草的获取数量×(1+0.5×草蹦次数)"
"charge",1,"充能加成钢的获取数量×(充能+1)^0.1"
"charge",1e3,"充能加成经验的获取数量×(充能+1)^0.1"
"charge",1e6,"充能加成二重经验的获取数量×(充能+1)^0.1"
"charge",1e9,"充能加成草的获取数量×(充能+1)^0.1"
"charge",1e12,"充能加成声望点的获取数量×(充能+1)^0.1"
"charge",1e15,"充能加成水晶的获取数量×(充能+1)^0.1"
