ID,buy_resource,base_cost,cost_scaling,boost_resource,addition,mult_per10,cap,description
111,"grass",10,1.32,"grass",1,2,"Infinity","每级使草的获得数量+100%,每10级使草的获得数量×2"
112,"grass",25,1.32,"A1_grass_cap",1,1,990,"每级使A1区域草的数量上限增加1"
113,"grass",100,1.32,"A1_growth_speed",0.1,1,990,"每级使A1区域草的生长速度增加10%"
114,"grass",1e3,1.32,"xp",1,2,"Infinity","每级使经验的获得数量+100%,每10级使经验的获得数量×2"
115,"grass",1e5,2,"cut_amount",1,1,9,"点击一次多割1个草"
116,"grass",1e10,2,"prestige",0.25,1.25,"Infinity","每级使声望点的获得数量+25%,每10级使声望点的获得数量×1.25"
121,"prestige",1,1.32,"grass",0.5,1.5,"Infinity","每级使草的获得数量+50%,每10级使草的获得数量×1.5"
122,"prestige",3,1.32,"xp",0.5,1.5,"Infinity","每级使经验的获得数量+50%,每10级使经验的获得数量×1.5"
123,"prestige",15,1.32,"doubleXp",1,2,"Infinity","每级使二重经验获得数量+100%,每10级使二重经验的获得数量×2"
124,"prestige",105,1.4,"crystal",0.25,1.25,"Infinity","每级使水晶的获得数量+25%,每10级使水晶的获得数量×1.25"
131,"crystal",1,1.32,"grass",0.5,1.5,"Infinity","每级使草的获得数量+50%,每10级使草的获得数量×1.5"
132,"crystal",2,1.32,"xp",0.5,1.5,"Infinity","每级使经验的获得数量+50%,每10级使经验的获得数量×1.5"
133,"crystal",6,1.32,"doubleXp",1,2,"Infinity","每级使二重经验获得数量+100%,每10级使二重经验的获得数量×2"
134,"crystal",24,1.4,"prestige",0.25,1.25,"Infinity","每级使声望点的获得数量+25%,每10级使声望点的获得数量×1.25"
141,"steel",1,1.15,"",0.1,1,90,"解锁钢增益升级，每级使钢增益升级效果+10%"
142,"steel",1e3,1.15,"",0.1,1,90,"解锁自动增益升级，每级使自动增益升级效果+10%"
143,"steel",1e6,1.15,"charge",0.1,1,90,"解锁生成物品（充能），每级使充能获得数量+10%"
144,"steel",1e9,1.15,"charge",0.1,1,90,"解锁更多自动化升级，每级使充能获得数量+10%"
145,"steel",1e12,1.15,"charge",0.1,1,90,"解锁A2区域，每级使充能获得数量+10%"
146,"steel",1e15,1.15,"charge",0.1,1,90,"解锁火箭燃料（fuel，需要充能charge和石油oil合成），每级使充能获得数量+10%"
147,"steel",1e18,1.15,"charge",0.1,1,90,"解锁火箭部件（part，需要火箭燃料fuel和钢steel合成），每级使充能获得数量+10%"
147,"steel",1e21,1.15,"charge",0.1,1,90,"解锁B1区域，每级使充能获得数量+10%"
151,"perk",1,1,"grass",1,1,99,"草的获得数量+100%"
152,"perk",1,1,"cut_amount",1,1,9,"一次点击割草数量的倍数+1"
153,"perk",2,1,"xp",0.1,1,90,"经验的获得数量+10%"
154,"perk",5,1,"doubleXp",0.1,1,90,"二重经验的获得数量+10%"
155,"perk",10,1,"prestige",0.1,1,90,"声望点的获得数量+10%"
156,"perk",20,1,"crystal",0.1,1,90,"水晶的获得数量+10%"
157,"perk",50,1,"steel",0.1,1,90,"钢的获得数量+10%"
158,"perk",100,1,"charge",0.1,1,90,"充能的获得数量+10%"
161,"cuprum",10,1,"grass",0.1,1,90,"草的获得数量+10%"
162,"cuprum",10,1,"xp",0.1,1,90,"经验的获得数量+10%"
163,"cuprum",50,1,"prestige",0.1,1,90,"声望点的获得数量+10%"
164,"cuprum",50,1,"crystal",0.1,1,90,"水晶的获得数量+10%"
165,"cuprum",250,1,"steel",0.1,1,90,"钢的获得数量+10%"
166,"cuprum",250,1,"charge",0.1,1,90,"充能的获得数量+10%"
171,"charge",1e21,1.1,"grass",1,1,"Infinity","草的获得数量+100%"
172,"charge",1e22,1.1,"prestige",1,1,"Infinity","声望点的获得数量+100%"
173,"charge",1e23,1.1,"crystal",1,1,"Infinity","水晶的获得数量+100%"
174,"charge",1e34,1.1,"steel",1,1,"Infinity","钢的获得数量+100%"
181,"grass",1e24,2,"steel",0.1,1,999,"钢的获取数量+10%"
182,"prestige",1e12,1.2,"steel",0.1,1,999,"钢的获取数量+10%"
183,"crystal",1e9,1.2,"steel",0.1,1,999,"钢的获取数量+10%"
184,"steel",1e6,1.2,"steel",0.1,1,999,"钢的获取数量+10%"
191,"grass",1e18,2,"",0.001,1,99,"每秒自动生成的声望点+0.1%"
